bay_id,rd_seg_dsc,lat,lon
5069,Arden Street between Laurens Street and Fogarty Street,-37.82516843,144.9699407
683,Drummond Street between Grattan Street and Faraday Street,-37.81438812,144.9717558
2195,Canning Street between Faraday Street and Elgin Street,-37.81131729,144.9576948
1452,Owen Street between Barrup Street and Canning Street,-37.81440794,144.9741008
1653,Sturt Street between Southbank Boulevard and Grant Street,-37.81276845,144.9720671
2298,Cardigan Street between Elgin Street and Keppel Street,-37.81048682,144.9687281
5875,St Kilda Road between Southbank Boulevard and Grant Street,-37.79848481,144.9655169
3917,St Kilda Road between Grant Street and Wadey Street,-37.80479934,144.9553389
8294,Degraves Street between Fitzgibbon Street and Park Drive,-37.81189674,144.9596826
4179,Douglas Street between Turner Street and Cook Street,-37.80843433,144.9594982
3709,Birdwood Avenue between Dallas Brooks Drive and Domain Road,-37.80395417,144.9568971
4247,,-37.80945894,144.9556238
4653,Leicester Street between Pelham Street and Grattan Street,-37.82535375,144.9666982
2004,Palmerston Street between Canning Street and Rathdowne Street,-37.81044429,144.9646279
6123,Albermarle Street between Chelmsford Street and Hardiman Street,-37.81953718,144.9448326
829,Kay Street between Station Street and Canning Street,-37.80933865,144.9693112
4454,Kensington Road between Derby Street and Altona Street,-37.80310836,144.950132
4385,Parkville Avenue between Strickland Road and Park Street,-37.80763082,144.9527726
5181,Miller Street between Lothian Street and Dryburgh Street,-37.81050063,144.9523727
6512,Adderley Street between Hawke Street and Abbotsford Street,-37.81315303,144.9367728
1652,Sturt Street between Southbank Boulevard and Grant Street,-37.81275133,144.9721257
2376,Barkly Street between Nicholson Street and Canning Street,-37.81390242,144.9563242
3215,Karlsruhe Lane between Collins Street and Keera Way,-37.80687121,144.9543021
4251,Oak Street between Poplar Road and Manningham Street,-37.80932854,144.9556505
8287,Hardiman Street between Bent Street and Albermarle Street,-37.81454031,144.9718263
6892,Todd Road between Cook Street and Wharf Road,-37.79558351,144.9647323
6084,Armadale Street from St Kilda Road,-37.81957864,144.9450037
5761,St Kilda Road between Slater Street and Armadale Street,-37.81193638,144.9756157
5452,Haines Street between Abbotsford Street and Dryburgh Street,-37.81260046,144.9779751
2000,Palmerston Street between Canning Street and Rathdowne Street,-37.81036493,144.964902
6472,Royal Parade between MacArthur Road and Leonard Street,-37.8138375,144.94001
5312,Childers Street between Ormond Street and Kensington Road,-37.82950628,144.971035
1151,Grant Street between Wells Street and Dodds Street,-37.81217847,144.9594087
1870,Grattan Street between Drummond Street and Lygon Street,-37.81493667,144.9570283
6280,Arden Street between Laurens Street and Fogarty Street,-37.81898422,144.9486177
616,Barkly Street between Nicholson Street and Canning Street,-37.81001589,144.9722975
6133,Birdwood Avenue between Dallas Brooks Drive and Domain Road,-37.8196902,144.9443014
2683,Cemetery Road East between College Crescent and Lygon Street,-37.80373847,144.9495971
2204,Grant Street between St Kilda Road and Wells Street,-37.81148039,144.9571318
3511,Elgin Street between Canning Street and Rathdowne Street,-37.80883968,144.958439
1993,Flinders Lane between Exhibition Street and Russell Street,-37.81024273,144.9655048
6923,Stanley Street between Railway Place and Adderley Street,-37.81330885,144.9684568
1112,Barrup Street between Owen Street and Murchison Street,-37.81430567,144.9603801
5696,Domain Road between Domain Street and Hope Street,-37.81013767,144.9804022
4491,Gatehouse Street between Morrah Street and Bayles Street,-37.80848915,144.967348
6261,Powlett Street between Grey Street and Albert Street,-37.81995604,144.9481458
4032,Leopold Street between Toorak Road and Domain Road,-37.80477995,144.9523297
747,Station Street between Kay Street and Princes Street,-37.81557575,144.9721801
3039,Lorimer Street between Westgate Freeway and Hartley Street,-37.80295083,144.9570491
5920,Queensberry Street between Curzon Street and Abbotsford Street,-37.80297158,144.9670817
